"Region_Country_Area_Code","Region_Country_Area_Name","Year","Cur_health_exp","dom_gen_govern_health_exp","pop_annl_increase","tot_fertil_rate","infant_mortal","maternal_mortal","life_expect_both_sexes","life_expect_males","life_expec_females"
188,"Costa Rica",2015,7.7804,29.9449,1.1,1.9,9.3,25.0,79.2,76.7,81.7
191,"Croatia",2005,6.9124,12.5491,-0.2,1.4,6.5,11.0,74.9,71.4,78.4
191,"Croatia",2010,8.0958,14.3036,-0.2,1.5,5.7,10.0,76.1,72.6,79.5
191,"Croatia",2015,7.1542,11.6814,-0.4,1.5,3.9,8.0,77.0,73.6,80.4
192,"Cuba",2005,8.7539,11.6674,0.2,1.6,6.1,41.0,77.2,75.3,79.1
192,"Cuba",2010,10.6876,13.8671,0.1,1.6,5.7,44.0,78.7,76.7,80.7
192,"Cuba",2015,12.7846,18.2005,0.2,1.7,5.5,39.0,79.2,77.1,81.3
196,"Cyprus",2005,5.2862,5.4093,1.7,1.6,5.6,12.0,78.3,76.3,80.5
196,"Cyprus",2010,6.2778,7.1996,1.6,1.5,4.4,8.0,79.0,76.9,81.1
196,"Cyprus",2015,6.8085,7.0938,0.9,1.4,4.2,7.0,79.9,77.7,82.2
203,"Czechia",2005,6.381,12.8647,-0.1,1.2,3.9,6.0,75.5,72.2,78.8
203,"Czechia",2010,6.9281,13.235,0.5,1.4,3.1,5.0,77.0,73.8,80.1
203,"Czechia",2015,7.2428,14.2832,0.1,1.5,2.5,4.0,78.2,75.1,81.2
204,"Benin",2005,4.0127,4.8298,3.0,5.8,84.1,502.0,56.2,54.6,57.7
204,"Benin",2010,4.0898,5.1466,2.8,5.5,74.5,446.0,58.6,57.1,60.0
204,"Benin",2015,3.9918,3.2252,2.8,5.2,67.7,405.0,59.9,58.5,61.4
208,"Denmark",2005,9.0906,14.8567,0.3,1.8,4.5,8.0,77.3,75.0,79.6
208,"Denmark",2010,10.3332,15.2937,0.5,1.9,3.7,7.0,78.6,76.4,80.8
208,"Denmark",2015,10.2738,15.789,0.5,1.7,3.5,6.0,80.1,78.1,82.2
212,"Dominica",2005,5.2445,9.4562,0.3,0.0,0.0,0.0,0.0,0.0,0.0
212,"Dominica",2010,5.6013,8.2464,0.2,0.0,0.0,0.0,0.0,0.0,0.0
212,"Dominica",2015,5.4551,10.5796,0.5,0.0,0.0,0.0,0.0,0.0,0.0
214,"Dominican Republic",2005,4.354,9.1996,1.5,2.8,34.9,64.0,71.1,68.1,74.4
214,"Dominican Republic",2010,5.5823,15.9277,1.4,2.7,29.6,75.0,72.2,69.2,75.5
214,"Dominican Republic",2015,6.0439,13.9539,1.2,2.5,25.1,92.0,73.2,70.2,76.5
218,"Ecuador",2005,5.5784,7.8656,1.7,2.9,27.1,74.0,73.6,70.7,76.8
218,"Ecuador",2010,7.122,9.2046,1.7,2.7,23.4,75.0,74.6,71.7,77.5
218,"Ecuador",2015,8.5885,10.8498,1.6,2.6,21.1,64.0,75.5,72.8,78.4
222,"El Salvador",2005,7.1897,19.6109,0.5,2.7,23.6,68.0,69.6,65.0,74.1
222,"El Salvador",2010,6.9147,17.7056,0.4,2.4,20.7,59.0,71.1,66.4,75.6
222,"El Salvador",2015,6.8641,20.8333,0.5,2.2,17.0,54.0,72.6,67.9,77.1
226,"Equatorial Guinea",2005,1.401,2.1397,4.2,5.7,89.7,483.0,53.6,52.3,54.9
226,"Equatorial Guinea",2010,1.5319,1.018,4.6,5.4,80.4,379.0,54.9,53.8,56.2
226,"Equatorial Guinea",2015,2.7082,1.4105,4.2,5.0,70.0,342.0,56.8,55.5,58.4
231,"Ethiopia",2005,4.101,7.5518,2.9,6.1,78.0,743.0,53.6,52.3,55.0
231,"Ethiopia",2010,5.4664,5.0879,2.7,5.3,59.9,523.0,59.1,57.6,60.6
231,"Ethiopia",2015,3.9759,5.9144,2.6,4.6,45.8,353.0,63.7,61.9,65.5
232,"Eritrea",2005,5.3124,1.1483,3.1,5.1,59.4,619.0,56.7,54.7,58.8
232,"Eritrea",2010,3.4459,1.5076,2.0,4.8,51.7,579.0,60.7,58.7,62.7
232,"Eritrea",2015,2.9658,1.2096,2.0,4.4,45.0,501.0,63.4,61.4,65.6
233,"Estonia",2005,4.9559,11.094,-0.6,1.4,7.3,15.0,71.6,66.0,77.1
233,"Estonia",2010,6.3337,11.5998,-0.4,1.7,4.7,8.0,73.8,68.3,79.0
233,"Estonia",2015,6.4818,12.1405,-0.3,1.6,3.2,9.0,76.8,71.9,81.2
234,"Faroe Islands",2005,0.0,0.0,0.4,2.6,0.0,0.0,0.0,0.0,0.0
